Question,Answer,Metadata
လက်ရှိကမ္ဘာမှာ မျောက်ကျောက်ရောဂါ အန္တရာယ်ရှိနိုင်သည့်နေရာက ဘယ်မှာလဲ?,"၁၉၇၀ ခုနှစ်မှစ၍ ဖော်ပြပါ အာဖရိကနိုင်ငံ (၁၁) နိုင်ငံတွင် မျောက်ကျောက်ရောဂါဖြစ်ပွားမှုရှိသည်ကို အချက်အလက်များအရ သိရှိခဲ့ပါသည်။ ၎င်းတို့မှာ (ဘီနင်၊ ကင်မရွန်း၊ ဗဟိုအာဖရိကသမ္မတနိုင်ငံ၊ ကွန်ဂိုဒီမိုကရက်တစ်သမ္မတနိုင်ငံ၊ ဂါဘွန်၊ ကော့ဒီအိုင်ဗွိုင်ယာ၊ လိုက်ဘေးရီးယား၊ နိုင်ဂျီးရီးယား၊ ကွန်ဂိုသမ္မတနိုင်ငံ၊ ဆီရာရာလီယွန် နှင့် တောင်ဆူဒန်) တို့ဖြစ်သည်။

မျောက်ကျောက်‌ရောဂါ ဖြစ်ပွားမှုနည်းသည့်နိုင်ငံများတွင်လည်း ရံဖန်ရံခါ ၎င်းရောဂါဖြစ်ပွားလေ့ရှိသည်ကို တွေ့ရတတ်ပါသည်။ ၎င်းတို့သည် ရောဂါဖြစ်ပွားမှုများသည့်နိုင်ငံများသို့ ခရီးသွားရောက်ခဲ့ခြင်းရှိသည်ကို ပုံမှန်အားဖြင့်တွေ့ရလေ့ရှိသည်။ ယခင်ကဖြစ်ပွားခဲ့သော အစုလိုက် အပြုံလိုက်ရောဂါဖြစ်ပွားမှုတစ်ခုမှာ ပြည်ပမှတင်သွင်းလာသော နို့တိုက်သတ္တဝါငယ်များမှတစ်ဆင့် ရောဂါကူးစက်ခံထားရသော တိရစ္ဆာန်များနှင့် ထိတွေ့ခြင်းကြောင့် ဖြစ်ပွားခြင်းဖြစ်သည်။

၂၀၂၂ ခုနှစ် မေလမှစ၍ ရောဂါဖြစ်ပွားမှုနည်းသည့် နိုင်ငံအများအပြားတွင် မျောက်ကျောက်ရောဂါ ဖြစ်ပွားမှုများလာသည်ကို တွေ့ရှိခဲ့ပါသည်။ ယခုဖြစ်ပွားမှုသည် မျောက်ကျောက်ရောဂါ၏ ယခင်ဖြစ်ပွားလေ့ရှိသည့်ပုံစံနှင့် မတူသည်ကိုတွေ့ရှိရပါသည်။ ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့သည် ရောဂါဖြစ်ပွားနေသည့် နိုင်ငံများနှင့်ပူးပေါင်း၍ ရောဂါစောင့်ကြပ်ကြည့်ရှုခြင်းအား တိုးမြှင့်လုပ်ဆောင်လျက်ရှိပြီး၊ ကူးစက်ပျံ့နှံ့မှုကို ရပ်တန့်ရန်နှင့် ရောဂါပိုးရှိသူအား မည်ကဲ့သို့ ပြုစုစောင့်ရှောက်ရမည့် လမ်းညွှန်ချက်များကို ကူညီထောက်ပံ့ပေးလျက်ရှိပါသည်။",https://www.who.int/myanmar/emergencies/mpox
နိုင်ငံအများအပြားတွင် ၂၀၂၂ ခုနှစ် မေလမှ စတင်၍ တွေ့ရှိသော မျောက်ကျောက်ရောဂါ အစုလိုက် အပြုံလိုက် ဖြစ်ပွားမှုနှင့်ပတ်သက်၍ ကျွန်ုပ်တို့ ဘာတွေသိထားလဲ?,"ယခင်က မျောက်ကျောက်ရောဂါ ဖြစ်ပွားမှုနည်းသည့်နိုင်ငံ အများအပြားသည် ၂၀၂၂ ခုနှစ် မေလမှ စတင်၍ ရောဂါဖြစ်ပွားမှုများကို စတင်သတင်းပေးပို့ခဲ့သည်။ ၂၀၂၂ ခုနှစ် မေလ ၁၉ ရက်နေ့အထိ ရောဂါဖြစ်ပွားမှုနည်းသည့် (၁၀) နိုင်ငံနှင့်အထက်သည် မျောက်ကျောက်ရောဂါ ဖြစ်ပွားနေမှုအား ဆက်လက် သတင်းပေးပို့ခဲ့ပါသည်။ ထပ်မံဖြစ်ပွားသူများကိုလည်း ဆက်လက်စုံစမ်း စစ်ဆေးလျှက်ရှိပါသည်။ 

ယခင်က မျောက်ကျောက်ရောဂါဖြစ်ပွားမှုနည်းသည့်နိုင်ငံများတွင် ၎င်းရောဂါ ကူးစက်ခံရသူများသည် ရောဂါဖြစ်ပွားမှုများသည့်နိုင်ငံများသို့ ခရီးသွားထားသည့် ရာဇဝင်နှင့် အမြဲလိုလို ဆက်စပ်မှုရှိပါသည်။ လက်ရှိအချိန် ၂၀၂၂ ခုနှစ်တွင် ရောဂါကူးစက်ခံရသူများနှင့် ရောဂါဖြစ်ပွားမှုများသည့်နိုင်ငံသို့ ခရီးသွားလာခြင်းတို့မှာ သိသာရှင်းလင်းသော ဆက်စပ်မှုမရှိသကဲ့သို့ ရောဂါကူးစက်ခံထားရသည့် တိရိစ္ဆာန်များနှင့်လည်း ဆက်စပ်မှုမရှိပါ။

ဤရောဂါဖြစ်ပွားမှုကြောင့် လူအများ (အထူးသဖြင့် မိမိတို့၏ ချစ်ခင်ရသူများထဲတွင် ရောဂါခံစားနေရသူတို့) သည် စိုးရိမ်မကင်းဖြစ်ပေါ်နေကြသည်ကို ကျွန်ုပ်တို့နားလည်ပါသည်။ ယခုအချိန်တွင် အရေးကြီးဆုံး လုပ်ဆောင်ရမည့်အချက်မှာ ကူးစက်နိုင်ခြေ အများဆုံးရှိသူများအား မျောက်ကျောက်ရောဂါအကြောင်းကို ပိုမိုသိရှိလာစေရန် အသိပညာပေးခြင်းနှင့် လူများကြားတွင် နောက်ထပ် ပြန့်ပွားမှုအား မည်သို့လျော့ချရမည်ကို အကြံဉာဏ်များ ပေးရန်ဖြစ်သည်။ ပြည်သူ့ကျန်းမာရေး ဝန်ထမ်းများ၏ လူနာသစ်များကို ရှာဖွေဖေါ်ထုတ်ခြင်းနှင့် ပြုစုစောင့်ရှောက်ခြင်းသည် အရေးကြီးပါသည်။ ဤမျောက်ကျောက်ရောဂါကြောင့် ထိခိုက်နစ်နာသူ မည်သူကိုမျှ နှိမ့်ချဆက်ဆံ၊ ကဲ့ရဲ့ပြစ်တင်ခြင်း မပြုရန် မဖြစ်မနေ အရေးကြီးပါသည်။ ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့သည် မျောက်ကျောက်ရောဂါ စောင့်ကြပ်ကြည့်ရှုခြင်း၊ ကြိုတင်ပြင်ဆင်ခြင်းနှင့် တုံ့ပြန်ဆောင်ရွက်ခြင်း လုပ်ငန်းများနှင့်ပတ်သက်၍ အဖွဲ့ဝင်နိုင်ငံများအား ပံ့ပိုးကူညီရန် လုပ်ဆောင်လျက်ရှိသည်။",https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါသည် ပိုမိုကျယ်ပြန့်ကြီးမားတဲ့ အစုလိုက်အပြုံလိုက်ရောဂါဖြစ်ပွားနိုင်သော အန္တရာယ်ရှိပါသလား?,မျောက်ကျောက်ရောဂါသည် လူတို့အကြားတွင် ကူးစက်ပျံ့နှံ့ရန်အတွက် ရောဂါပိုးရှိသူနှင့် အနီးကပ် ထိတွေ့ဆက်ဆံရန် လိုအပ်သောကြောင့် (ဥပမာ-အရေပြားခြင်းထိတွေ့ခြင်း လိုအပ်သောကြောင့်) ကူးစက်နိုင်ခြေ အလွန်မြင့်မားသည်ဟု မယူဆပါ။ အများပြည်သူအတွက် ကူးစက်နိုင်သောအန္တရာယ် နည်းပါးပါသည်။ မျောက်ကျောက်ရောဂါကို ဦးစားပေးရောဂါပိုးတစ်ခုအဖြစ် ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့က နှစ်ပေါင်းများစွာကတည်းက သတ်မှတ်ထားပြီး ယခုဖြစ်ပေါ်နေသော ကူးစက်ပြန့်ပွားမှုကိုလည်း အရေးကြီး ဦးစားပေး အခြေအနေအဖြစ် တုံ့ပြန်ဆောင်ရွက်နေပါသည်။ နောက်ထပ် ဆက်လက်ပြန့်ပွားမှုမရှိစေရန်လည်း လုပ်ဆောင်လျှက်ရှိပါသည်။ ယခုတွေ့မြင်နေရသည့် မျောက်ကျောက်ရောဂါ အစုလိုက်အပြုံလိုက် ဖြစ်ပွားမှုများမှာ ရောဂါဖြစ်ပွားမှုများသော နိုင်ငံများသို့ ခရီးသွားလာမှု သို့မဟုတ် အဆိုပါနိုင်ငံများမှ တိရစ္ဆာန်များ တင်သွင်းမှု စသည့်အခြေအနေများ မရှိခြင်းကြောင့် မျောက်ကျောက်ရောဂါ၏ ပုံမှန်ဖြစ်ပေါ်နေကျ ကူးစက်ပြန့်ပွားမှု အခြေအနေမဟုတ်ပါ။ ဗိုင်းရပ်စ်ပိုး မည်ကဲ့သို့ ပြန့်ပွားလာခြင်းနှင့် လူအများပိုမိုကူးစက်ခြင်းမှ ကာကွယ်ရန်တို့မှာ ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့အတွက် ဦးစားပေးဖြစ်ပါသည်။ ဤအခြေအနေအသစ်နှင့်ပတ်သက်၍ လူထုအားအသိပညာပေးခြင်းသည် နောက်ထပ်ကူးစက်မှုကို ရပ်တန့်ရန်အတွက် အထောက်အကူဖြစ်စေမည် ဖြစ်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်ရောဂါပိုးသည် လိင်မှတစ်ဆင့် ကူးစက်နိုင်ပါသလား?,"မျောက်ကျောက်ရောဂါသည် လိင်ဆက်ဆံမှုအပါအဝင် လူတစ်ဦးမှတစ်ဦး အနီးကပ် ထိတွေ့ဆက်ဆံခြင်းမှ ကူးစက်နိုင်ပါသည်။ မျောက်ကျောက်ရောဂါသည် လိင်ဆက်ဆံမှုလမ်းကြောင်း (သုတ်ရည် သို့မဟုတ် မိန်းမကိုယ်အရည်) မှတစ်ဆင့် ကူးစက်နိုင်ခြင်း ရှိ/မရှိ ဆိုသည်ကို လတ်တလောအချိန်တွင် မသိနိုင်သေးသော်လည်း လိင်ဆက်ဆံစဉ်အတွင်း ခန္ဓာကိုယ်ရှိအနာနှင့် အရေပြားကို တိုက်ရိုက်ထိတွေ့ခြင်းဖြင့် ဗိုင်းရပ်စ်ပိုးကို ကူးစက်စေနိုင်ပါသည်။

မျောက်ကျောက်ရောဂါကြောင့်ဖြစ်ပေါ်သော အနီကွက်များသည် လိင်အင်္ဂါနှင့် ပါးစပ်တို့တွင် တစ်ခါတစ်ရံ တွေ့ရတတ်ပြီး ၎င်းမှတစ်ဆင့် လိင်ဆက်ဆံစဉ်အတွင်း ကူးစက်စေသည်ဟု ယူဆရသည်။ ထို့ကြောင့် ပါးစပ် သို့မဟုတ် အရေပြားအနာများရှိသောနေရာတွင် ပါးစပ်နှင့်အရေပြားထိတွေ့မှုသည် ရောဂါကို ကူးစက်ပျံ့ပွား စေပါသည်။

မျောက်ကျောက်အဖုအပိန့်များသည် ရေယုန်၊ ဆစ်ဖလစ်အပါအဝင် လိင်မှတစ်ဆင့် ကူးစက်သော ရောဂါအချို့နှင့် ဆင်တူနိုင်သည်။ ထို့ကြောင့် လတ်တလောဖြစ်ပေါ်နေသော မျောက်ကျောက်ရောဂါ ဝေဒနာရှင် အတော်များများကို လိင်မှုဆိုင်ရာကျန်းမာရေးဆေးခန်းများတွင် ကုသမှုလာရောက်ခံယူသော အမျိုးသားများကြားတွင် တွေ့ရှိနေရခြင်းဖြစ်သည်။

လိင်မှုပိုင်းဆိုင်ရာတက်ကြွသူများ သို့မဟုတ် လိင်တူချင်းဆက်ဆံသော အမျိုးသားများတွင်သာ မျောက်ကျောက်ရောဂါ ကူးစက်နိုင်သော အခြေအနေရှိသည် မဟုတ်ပါ။ မည်သူမဆို ရောဂါပိုးရှိသူနှင့် နီးကပ်စွာ ထိတွေ့ဆက်ဆံမိသူတိုင်း ရောဂါဖြစ်နိုင်ခြေရှိပါသည်။ မျောက်ကျောက်ရောဂါ လက္ခဏာခံစားရသော မည်သူမဆို ကျန်းမာရေးဝန်ထမ်းများထံတွင် အလျင်အမြန် အကြံဉာဏ်ရယူပါ။",https://www.who.int/myanmar/emergencies/mpox
အမျိုးသားခြင်း လိင်တူဆက်ဆံပါက မျောက်ကျောက်ရောဂါ ဖြစ်ပွားနိုင်ခြေ ပိုများသပါလား?,"မျောက်ကျောက်ရောဂါသည် လူတစ်ဦးမှတစ်ဦးသို့ အနီးကပ် ထိတွေ့ဆက်ဆံမှုမှတစ်ဆင့် ကူးစက်နိုင်ပါသည်။ လိင်မှုပိုင်းဆိုင်ရာ တက်ကြွနေသူများ သို့မဟုတ် လိင်တူဆက်ဆံသော အမျိုးသားများတွင်သာ မျောက်ကျောက်ရောဂါ ကူးစက်ဖြစ်ပေါနိုင်ခြေရှိသည် မဟုတ်ပါ။ ရောဂါပိုးရှိသူနှင့်ထိတွေ့မိသူတိုင်း ရောဂါဖြစ် ပွားနိုင်သော အန္တရာယ်ရှိပါသည်။ မျောက်ကျောက်ရောဂါ ဖြစ်နိုင်ချေရှိသော ရောဂါလက္ခဏာရှိသူတိုင်း ကျန်းမာရေးဝန်ထမ်းများထံမှ ချက်ချင်း အကြံဉာဏ်ရယူသင့်ပါသည်။ မျောက်ကျောက်ရောဂါ ဖြစ်ပွားသောရပ်ရွာနှင့်အဆက်အစပ်ရှိသော လူများအနေဖြင့်လည်း အလားတူပင် ကျန်းမာရေးဝန်ထမ်းများထံမှ အကြံဉာဏ်ရယူသင့်ပါသည်။

ရောဂါဖြစ်ပွားမှု များပြားခြင်းမရှိသော နိုင်ငံများတွင် ရောဂါခံစားရသူအမြောက်အမြားသည် လိင်တူဆက်ဆံသော အမျိုးသားများဖြစ်နေသည်ကို တွေ့ရှိရပါသည်။ ၎င်းတို့ကို လိင်မှုဆိုင်ရာကျန်းမာရေး ဆေးပေးခန်းများတွင် တွေ့ရှိရခြင်းဖြစ်ပါသည်။ မျောက်ကျောက်ရောဂါဖြစ်ပွားနေမှုများကို လိင်တူဆက်ဆံသော အမျိုးသားများအသိုင်းအဝိုင်းတွင် ပိုမိုကြားသိနေရသည့်ဖြစ်နိုင်သော အကြောင်းရင်းတစ်ခုမှာ အဆိုပါလူအုပ်စုတွင် ရောဂါဖြစ်ပါက ကျန်းမာရေးဝန်ဆောင်မှု ရှာဖွေရယူတတ်သည့် ကောင်းမွန်သော အပြုအမူရှိခြင်းကြောင့်ဖြစ်နိုင်ပါသည်။

မျောက်ကျောက်ရောဂါကြောင့်ဖြစ်ပွားသော အနီကွက်အဖုများသည် ရေယုန်နှင့် ကာလသားရောဂါ အပါအဝင် လိင်မှတစ်ဆင့် ကူးစက်သောရောဂါအချို့နှင့် ဆင်တူနိုင်ပါသည်။ ထို့ကြောင့် မျောက်ကျောက်ရောဂါများကို လိင်မှုဆိုင်ရာကျန်းမာရေးဆေးခန်းများတွင် တွေ့ရှိနေကြခြင်းလည်းဖြစ်နိုင်ပါသည်။ ကျွန်ုပ်တို့သည် ဤရောဂါအကြောင်းကို ပိုမိုလေ့လာသိရှိလာမည်ဆိုလျှင် အများပြည်သူကြားတွင် ထိုရောဂါဖြစ်ပွားမှုများကို ပိုမို ဖော်ထုတ်နိုင်ဖွယ်ရှိပါသည်။",https://www.who.int/myanmar/emergencies/mpox
အွန်လိုင်းပေါ်တွင် ပျံ့နှံ့နေသည့် မျောက်ကျောက်ရောဂါနှင့်ပတ်သက်သော ကဲ့ရဲ့အပြစ်တင်၍ နှိမ်ချဆက်ဆံသည့်သတင်းများကို ကမ္ဘာ့ကျန်းမားရေးအဖွဲ့မှ မည်သို့တုံ့ပြန်လိုပါသလဲ?,မျောက်ကျောက်ရောဂါ အစုလိုက် အပြုံလိုက်ဖြစ်ပွားမှုနှင့်ပတ်သက်၍ လူအုပ်စုတစ်ချို့တို့ကို နှိမ်ချ ဆက်ဆံသည့်သတင်းများ၊ ပြောဆိုမှုများကို မြင်တွေ့နေရပါသည်။ ထိုသတင်းများသည် မှန်ကန်မှု လုံးဝ မရှိပါ။ ပထမဆုံးအချက်အနေနှင့် မျောက်ကျောက်ရောဂါရှိသူနှင့် ရုပ်ပိုင်းဆိုင်ရာ အနီးကပ်ထိတွေ့ ဆက်ဆံဖူးသူတိုင်းသည် ရောဂါကူးစက်နိုင်ခြေရှိပါသည်။ ထိုသူက မည်သူမည်ဝါဖြစ်သည်၊ ဘာလုပ်ကိုင်သည်၊ မည်သူနှင့်လိင်ဆက်ဆံသူဖြစ်သည် စသည့်အချက်အလက်များနှင့် ရောဂါဖြစ်ခြင်းတို့မှာ ဆက်စပ်ခြင်း လုံးဝ မရှိပါ။ ဒုတိယအနေနှင့် မကျန်းမာသောအခြေအနေတစ်ခုကြောင့် သို့မဟုတ် ရောဂါတစ်ခုခုကြောင့် လူများကို ကဲ့ရဲ့အပြစ်တင်၍ နှိမ်ချဆက်ဆံခြင်း၊ ပစ်ပါယ်ထားခြင်းများသည် လက်သင့်ခံထိုက်သော အခြေအနေမဟုတ်ပါ။ ထိုသို့ပြုလုပ်ခြင်းသည် အခြေအနေများကို ပိုမိုဆိုးရွားစေပြီး၊ ရောဂါပျံ့ပွားမှု အမြန်အဆုံးသတ်ရန်ကိုလည်း အဆီးအတားဖြစ်စေပါသည်။ ရောဂါပိုးကူးစက်ခြင်းခံရသူ သို့မဟုတ် ရောဂါသည်များကို ပြုစုစောင့်ရှောက်ပေးနေသော မည်သူကိုမဆို ပံ့ပိုးကူညီရန် ကျွန်ုပ်တို့အားလုံး အတူတကွ ပူးပေါင်း လုပ်ဆောင်ရန် လိုအပ်ပါသည်။ ဤရောဂါကို မည်သို့တားဆီးရမည်၊ မိမိကိုယ်နှင့် အခြားသူများကို ရောဂါကူးစက်ခြင်းမှ မည်သို့ကာကွယ်ရမည်ကို ကျွန်ုပ်တို့ သိရှိပြီးဖြစ်ပါသည်။ ကဲ့ရဲ့အပြစ်တင်၍ နှိမ်ချဆက်ဆံခြင်း၊ ပစ်ပါယ်ထားခြင်းများသည် မည်သည့်အခါမျှ အဆင်မပြေသကဲ့သို့ ဤရောဂါဖြစ်ပွားပျံ့နှံ့မှုတွင်လည်း အဆင်ပြေစေမည်မဟုတ်ပါ။ ကျွန်ုပ်တို့အားလုံး အတူတကွ ပူးပေါင်းလုပ်ဆောင်ရမည်ဖြစ်ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
ဤရောဂါကို ဘာကြောင့် မျောက်ကျောက်ရောဂါဟု ခေါ်ဆိုတာပါလဲ?,၁၉၅၈ ခုနှစ်တွင် သုတေသနပြုလုပ်ရန် သိမ်းဆည်းထားသည့် မျောက်အုပ်စုများတွင် ပထမဆုံးတွေ့ရှိခဲ့သည့်အတွက် မျောက်ကျောက်ရောဂါဟု ခေါ်ဆိုခြင်းဖြစ်ပါသည်။ ၎င်းကို ၁၉၇၀ ပြည့်နှစ်များတွင် လူသားများ၌ စတင်တွေ့ရှိခဲ့ပါသည်။,https://www.who.int/myanmar/emergencies/mpox
မျောက်ကျောက်‌ရောဂါ သတိပြုပါ,အာဖရိကဒေသတွင် မျောက်ကျောက်ရောဂါ ကူးစက်မှုများကြောင့် ပိုမိုကူးစက်မြန်ပြီး ပြင်းထန်သည့် ဗိုင်းရပ်စ်မျိုးကွဲထွက်ပေါ်နေသဖြင့် အာဖရိကရောဂါထိန်းချုပ်ရေးနှင့် ကာကွယ်ရေးဌာနက သြဂုတ်လ ၁၃ ရက်နေ့တွင် အရေးပေါ်အခြေအနေထုတ်ပြန်ခဲ့သည်။ ရောဂါဖြစ်ပွားမှု သိသိသာသာတိုးလာပြီး ကွန်ဂိုတွင် ယခုနှစ်စကတည်းက မျောက်ကျောက်ရောဂါ ကူးစက်ခံရသူပေါင်း ၁၅၆၀၀ ကျော်နှင့် သေဆုံးသူ ၅၃၇ ဦး အထိ ရှိခဲ့သည်။ ကွန်ဂိုအပြင် ဘူရွန်ဒီ၊ ဗဟိုအာဖရိကသမ္မတနိုင်ငံ ရဝမ်ဒါအပါအဝင် အခြားအာဖရိကနိုင်ငံများသို့လည်း ပျံ့နှံ့နေပြီး ထိန်းချုပ်နိုင်ရန် ပြင်းပြင်းထန်ထန် လုပ်ဆောင်ရမည်ဟု ကျွမ်းကျင်သူများက သတိပေးထားသည်။,https://www.moi.gov.mm/article/60581
WHO အထူးအလေးထားရသော မျောက်ကျောက်ရောဂါ,အာဖရိကတိုက် နေရာအနှံ့အပြားတွင် ဖြစ်ပေါ်နေသည့် မျောက်ကျောက်ရောဂါ ကူးစက်ပြန့်ပွားမှုများနှင့်ပတ်သက်ပြီး ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့ (WHO)က နိုင်ငံတကာကျန်းမာရေး အရေးပေါ်အခြေအနေအဖြစ် သြဂုတ်လ ၁၄ ရက်နေ့တွင်ကြေညာခဲ့သည်။ အာဖရိကကို ကျော်လွန်ကာ ရောဂါကူးစက်လာနိုင်ခြေသည် အလွန်စိုးရိမ်စရာဖြစ်ပြီး ရောဂါဖြစ်ပွားမှုကိုထိန်းချုပ်ကာ လူ့အသက်များကို ကယ်တင်ရန်ပူးပေါင်းညှိနှိုင်းမှုရှိသည့် နိုင်ငံတကာတုံ့ပြန်မှု မဖြစ်မနေလိုအပ်ကြောင်း ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့ အကြီးအကဲတက်ဒရို့စ်က ဆိုပါသည်။ ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့သည် အဆိုပါရောဂါနှင့်ပတ်သက်၍ ၂၀၂၂ ခုနှစ်ကလည်း အရေးပေါ်အခြေအနေကြေညာခဲ့ပြီး တစ်နှစ်မပြည့်မီ အဆုံးသတ်ခဲ့ကာ ယခုကြေညာချက်သည် ဒုတိယအကြိမ်ဖြစ်သည်။ အာဖရိကအလယ်ပိုင်းနှင့် အရှေ့ပိုင်းတို့တွင် အဓိကဖြစ်ပွားနေသော ရောဂါကူးစက်မှုများသည် ဗိုင်းရပ်စ်မျိုးကွဲသစ်ကြောင့် သေဆုံးမှုမြင့်တက်လာမည်ကို ကျွမ်းကျင်သူများက စိုးရိမ်နေကြသည်။,https://www.moi.gov.mm/article/60582
Monkey ကနေ mpox လို့ ဘာလို့ခေါ်တာလဲ,မျောက်ကျောက်ရောဂါ ဖြစ်ပွားမှုအစောပိုင်းကာလတွင် အာဖရိကတိုက်တွင်သာ တွေ့ရလေ့ရှိသော်လည်း ယခုအခါ ယခင်ကဖြစ်ပွားခဲ့ခြင်းမရှိသော နိုင်ငံအချို့သို့ စတင်ပျံ့နှံ့လျက်ရှိသည်။ ကူးစက်မှုသိသိသာသာမြင့်တက်ခဲ့ပြီး နောက် ၂၀၂၂ ခုနှစ် ဇူလိုင်လ ၂၃ ရက်နေ့တွင် WHO က နိုင်ငံတကာ စိုးရိမ်ဖွယ်အများပြည်သူကျန်းမာရေး အရေးပေါ်အခြေအနေအဖြစ် ထုတ်ပြန်ကြေညာခဲ့သော်လည်း ယမန်နှစ် မေလ ၁၁ ရက်နေ့တွင် အဆုံးသတ်ခဲ့သည်။ မူလကမျောက်ကျောက် (Monkey Pox) ရောဂါဟု ခေါ်ဆိုနေကြသော်လည်း ယင်းဗိုင်းရပ်စ်ပိုး အမည်မှည့်ရာတွင်ခွဲခြားမှုနှင့် မနှစ်မြို့စရာများရှိနေကြောင်း စောဒကတက်မှုများကြောင့် ၂၀၂၂ ခုနှစ် အကုန်တွင် Mpox သို့ ပြောင်းလဲခေါ်ဆိုရန် WHO က ကြေညာခဲ့သည်။,https://www.moi.gov.mm/article/60583
